specimen_id,genus,species,ref_pic,locality,formation,min_age,max_age,format,has_scale
SMF_57476,Silesiops,Silesiops schindewolfi,Feist et al 2000,Apricke,Wocklum Limestone,Famennian,NA,xml,True
SMF_57759,Semiproetus,semiproetus (Brevivole) brevispiNAklytia,Hahn et.al 1998,Liebenstein,Erdbach Limestone,Tournaisian,NA,xml,True
SMF_76447,Liobole,Liobole (Liobole) trimeroides,Muller 2004,Liebenstein,Erdbach Limestone,Tournaisian,NA,xml,True
SMF_76470,Priobole,Proliobole nitida,Muller 2004,Liebenstein,Erdbach Limestone,Tournaisian,NA,xml,False
SMF_76479,Latiglobusia,Latiglobusia ziegleri,Muller 2004,Erbach,Erdbach Limestone,Tournaisian,NA,xml,True
SMF_76569a,Cystispina,CystispiNAdiversa,Muller 2008,Erbach,Bromberg Formation,upper visean,NA,xml,True
SMF_79001B,Acastava,Acastava schmidti,Basse 2003,Oberstadtfeld,Gladbach-Schichten,Emsian,NA,xml,True
SMF_79804,Acastoides,Acastoides paeckelmanni,Basse 2003,Pendik,NA,Emsian,NA,xml,True
SMF_81a,Neometacanthus,Neometacanthus stellifer,Basse 2003,Gerolstein,Ahrdorf Formation,Eifelian,NA,xml,True
SMF_88192,Kettneraspis,Kettneraspis elliptica,Van Viersen and Heising 2015,Gees,Ahrdorf Formation,Eifelian,NA,xml,True
SMF_97255,Coombewoodia,Coombewoodia ruethenensis,Muller y Hahn 2023,Rhenish Massif,Hillershausen formation,visean,NA,xml,True
SMF_RX_1316d,Rhenops,Rhenops anserinus,Basse 2003,Raum Ober-Niederstadtfeld,Gladbach-Schichten,Emsian,NA,xml,True
SMF_X_82f,Asteropyge,Asteropyge comes,Basse 2003,Hillesheim,Ahrdorf,Eifelian,NA,xml,True
SM_4637,,,,,,,,xml,True
Sandford-2004-3A,Prokops,Prokops prokopi,Crônier et al 2015,NA,NA,Emsian,NA,tps,True
TML_58_3139,,,,,,,,xml,True
TML_985_349,,,,,,,,xml,True
TP_5,Piltonia,Piltonia kuehnei pauli,Muller 2003,NA,NA,Tournaisian,NA,xml,True
Tr-229,Echinophacops,Echinophacops mirabilis,Zhou 1983,NA,NA,NA,NA,tps,True
Tr-240,Rhinophacops,Rhinophacops schizoloma,Kaneko 1990,NA,NA,Emsian,NA,tps,False
Tr-339,Toxophacops,Toxophacops cristata,Zhou and Campbell 1990,NA,NA,Emsian,NA,tps,True
Tr-355,Atopophacops,Atopophacops apiculata,Zhou and Campbell 1990,NA,NA,Middle Devonian,NA,tps,True
Tr-373,Zhusilengops,Zhusilengops ejinensis,Zhou and Campbell 1990,NA,NA,Lower Devonian,NA,tps,True
UA-13295,Morocops,Morocops granulops,Chatterton et al 2006,NA,NA,Emsian,NA,tps,True
UA-6843,Reedops,Reedops bronni,McKellar and Chatterton 2009,Issoumour,Ihandar,Pragian,NA,tps,True
UA-6884,Austerops,Austerops kermiti,McKellar and Chatterton 2009,NA,NA,Eifelian,NA,tps,True
UA-6897,Boeckops,Boeckops stelcki,McKellar and Chatterton 2009,NA,NA,Emsian,NA,tps,True
UA13256,Timsaloproetus,Timsaloproetus haasi,Gibb and Chatterton 2009,Tazoulait-bou Dib,El Otfal Formation,Eifelian,NA,xml,True
UA13381,Parahomalonotus,Parahomalonotus calvus,Chatterton et al 2006,Jbel Gara el Zguilma,Timrhanrhart Formation,Emsian,NA,xml,True
UA13384,Diademaproetus,Diademaproetus praecursor,Chatterton et al 2006,Jbel Gara el Zguilma,Timrhanrhart Formation,Emsian,NA,xml,True
UA13394,Tropidocoryphe,Tropidocoryphe amuri,Chatterton et at 2006,Jbel Gara el Zguilma,Timrhanrhart Formation,Emsian,NA,xml,True
UA13411,Scabriscutellum,Scabriscutellum hammadi,Chatterton et al 2006,Jbel Gara el Zguilma,Timrhanrhart Formation,Emsian,NA,xml,True
UA13428,Koneprusia,Koneprusia dahmani,Chatterton et al 2006,Zguilma,Timrhanrhart Formation,Emsian,NA,xml,True
UA14054,Wujiajiania,Wujiajiania lyndasmithae,Chatterton Gibb 2016,Bull River Valley Locality 15,McKay Group,Paibian,Stage 10,xml,True
UA14277,Claycreekia,Claycreekia chrisorum,Chatterton Gibb 2016,Clay Creek section,McKay Group,Jiangshanian,Jiangshanian,xml,True
UA_14327,Kolihapeltis,Kolihapeltis chlupaci,Feist and Chatterton 2015,Hamar Laghdad III,Kess Kess Formation,Pragian,NA,xml,True
UA_4117,Primaspis,Primaspis mackenziensis,Chatterton and Perry 1983,Avalanche Lake One,Delorme Formation,Wenlock,NA,xml,True
UA_4771_(AV3_62),Ceratocephala,Ceratocephala avalanchensis,Chatterton and Perry 1983,Avalanche Lake three,Delorme Formation,Wenlock,NA,xml,True
UA_6935,Pedinopariops,Pedinopariops vagabundus,McKellar and Chatterton 2009,Aferdou de Mrakib,Bou Dib Formation,Givetian,NA,xml,True
UA_8259,Perryus,Perryus barletti,Edgecombe Chatterton 1992,Avalanche Lake 3,Whittaker,Telychian,Telychian,xml,True
UA_8666,Struszia,Struszia dimitrovi,Edgecombe Chatterton 1993,Avalanche Lake 4,Delorme,Sheinwoodian,Sheinwoodian,xml,True
